# HAND CLASSIFICATION of every (leaf, ticker) pair in _v2_clean.tsv
#
# Verdicts are MINE, from reading the best-scoring excerpt for each pair. They
# stand in for a reviewer's pass and are reproducible: every excerpt is in
# _v2_clean.tsv, keyed on the same (LEAF, TICKER). They are NOT sourced data and
# NOTHING here may be imported.
#
# USABLE          a reviewer would approve this excerpt as a FILED_QUALITATIVE
#                 exposure row as it stands
# MARGINAL        evidences the exposure but needs the surrounding note read
# FALSE           not a claim about this company's exposure
# FALSE_PRODUCER  the sentence names the input correctly and the company SELLS
#                 it. Published under a consumer edge the direction is BACKWARDS.
#                 Separated from FALSE because it is the dangerous class.
#
# LEAF	TICKER	VERDICT	NOTE
fx:usd_cost_share	AARTIIND.NS	USABLE	assets/liabilities denominated in non-INR
fx:usd_cost_share	BALKRISIND.NS	USABLE	consumption of imported raw materials
fx:usd_cost_share	COLPAL.NS	USABLE	impacts costs of imported raw material
fx:usd_cost_share	COSMOFIRST.NS	USABLE	hedges fx on purchases
fx:usd_cost_share	EMAMILTD.NS	MARGINAL	generic fx exposure, cost side not stated
fx:usd_cost_share	GANDHAR.NS	USABLE	currency risk on import payables
fx:usd_cost_share	GOODYEAR.NS	USABLE	DISCLOSED_IMMATERIAL - low reliance on imported RM, does not hedge
fx:usd_cost_share	PANAMAPET.NS	USABLE	currency risk on import payables
fx:usd_cost_share	SIRCA.NS	USABLE	significant purchases in foreign currency
fx:usd_cost_share	SOTL.NS	USABLE	currency risk on import payables
fx:usd_cost_share	XPROINDIA.NS	USABLE	purchases made in foreign currency
fx:usd_debt_share	ASIANPAINT.NS	MARGINAL	JPY ECB - leaf says USD, disclosure says JPY
fx:usd_debt_share	COLPAL.NS	FALSE	FEMA secretarial boilerplate
fx:usd_debt_share	COSMOFIRST.NS	MARGINAL	fx options/swaps, debt share not stated
fx:usd_debt_share	DABUR.NS	MARGINAL	forward cover, not debt
fx:usd_debt_share	DEEPAKNTR.NS	MARGINAL	USD sensitivity table, scorer penalised it
fx:usd_debt_share	GANDHAR.NS	FALSE	rating agency boilerplate
fx:usd_debt_share	GODREJCP.NS	FALSE	hedge table header row
fx:usd_debt_share	HUHTAMAKI.NS	USABLE	availed ECB from fellow subsidiary
fx:usd_debt_share	JKTYRE.NS	USABLE	borrowing mix includes foreign currency
fx:usd_debt_share	JUBLCPL.NS	FALSE	board committee remit
fx:usd_debt_share	KANSAINER.NS	FALSE	borrowing-cost accounting policy
fx:usd_debt_share	SOTL.NS	FALSE	FEMA secretarial boilerplate
fx:usd_debt_share	SRF.NS	USABLE	designates fx borrowings as hedging instruments
fx:usd_debt_share	UFLEX.NS	FALSE	benchmark-linked rate - wrong leaf
fx:usd_debt_share	XPROINDIA.NS	MARGINAL	forward derivative, not debt share
fx:usd_revenue_share	AARTIIND.NS	MARGINAL	generic fx, revenue side not stated
fx:usd_revenue_share	BALKRISIND.NS	MARGINAL	revenue-generating activities named generically
fx:usd_revenue_share	BRITANNIA.NS	USABLE	export sales 2-3% of total, USD and EUR
fx:usd_revenue_share	COSMOFIRST.NS	MARGINAL	hedge policy incl forecast sales
fx:usd_revenue_share	GANDHAR.NS	USABLE	export receivables named
fx:usd_revenue_share	JUBLCPL.NS	FALSE	board committee remit
fx:usd_revenue_share	MRF.NS	USABLE	FOB value of exports disclosed
fx:usd_revenue_share	PANAMAPET.NS	USABLE	export receivables named
fx:usd_revenue_share	POLYPLEX.NS	USABLE	fx exposure relates to operating revenue
fx:usd_revenue_share	SOTL.NS	USABLE	export receivables named
input:aluminium	ASIANPAINT.NS	FALSE	subsidiary making aluminium windows
input:aluminium	BERGEPAINT.NS	FALSE	supplies coatings FOR aluminium channels
input:aluminium	COLPAL.NS	FALSE	ESG report header
input:aluminium	INDIGOPNTS.NS	FALSE	macro commentary on US tariffs
input:aluminium	PIDILITIND.NS	USABLE	key raw materials are derivatives of crude, paper, aluminium
input:aluminium	SRF.NS	MARGINAL	principal-activities sentence, both sides
input:aluminium	UFLEX.NS	MARGINAL	transition away from aluminium-based structures
input:aluminium	VEEDOL.NS	FALSE	aluminium complex greases - a product
input:base_oil	CASTROLIND.NS	USABLE	commodity price risk - we are a purchaser
input:base_oil	GANDHAR.NS	USABLE	relies heavily on supply of base oil
input:base_oil	GULFOILLUB.NS	USABLE	sizable user of imported base oil
input:base_oil	PANAMAPET.NS	USABLE	import of base oil adverse impact on performance
input:base_oil	VEEDOL.NS	USABLE	it is a purchaser of base oil
input:bought_in_freight	AARTIIND.NS	MARGINAL	logistics optimisation narrative
input:bought_in_freight	BERGEPAINT.NS	MARGINAL	coastal waterway, reducing freight cost
input:bought_in_freight	CHEMPLASTS.NS	MARGINAL	location/transport-cost advantage
input:bought_in_freight	CONCOR.NS	USABLE	rail and road freight expense lines - table form
input:bought_in_freight	DELHIVERY.NS	FALSE	the CUSTOMERS' freight costs
input:bought_in_freight	GODREJCP.NS	MARGINAL	product reformulation reducing transport cost
input:bought_in_freight	GRWRHITECH.NS	MARGINAL	local procurement reduces transport cost
input:bought_in_freight	POLYPLEX.NS	MARGINAL	optimising freight and packaging cost
input:bought_in_freight	TCIEXP.NS	FALSE	Money Back Guarantee
input:bought_in_freight	VINATIORGA.NS	USABLE	risk framework names freight cost volatility
input:bought_in_freight	VRLLOG.NS	USABLE	lorry hire charges 5.54% -> 4.80% of revenue
input:copper	UFLEX.NS	FALSE	alkaline copper plating process change
input:crude_derivative_bitumen	BERGEPAINT.NS	FALSE	subsidiary list
input:crude_derivative_petchem	AARTIIND.NS	FALSE_PRODUCER	its PRODUCTS are used in those industries
input:crude_derivative_petchem	ANURAS.NS	FALSE_PRODUCER	product offerings extend to polymers
input:crude_derivative_petchem	ASIANPAINT.NS	FALSE	a PU product launch
input:crude_derivative_petchem	ATUL.NS	MARGINAL	class-A solvent storage - evidences use
input:crude_derivative_petchem	BERGEPAINT.NS	FALSE	hazardous waste storage
input:crude_derivative_petchem	CASTROLIND.NS	MARGINAL	post-consumer resin in packaging
input:crude_derivative_petchem	CEATLTD.NS	MARGINAL	reclaimed rubber - wrong leaf
input:crude_derivative_petchem	CHEMPLASTS.NS	MARGINAL	raw material supply chain disruption
input:crude_derivative_petchem	COLPAL.NS	USABLE	purchase of raw materials especially corn, carton board, resins
input:crude_derivative_petchem	CONCOR.NS	FALSE	transports PVC resin for others
input:crude_derivative_petchem	COSMOFIRST.NS	MARGINAL	capex in BOPP/polyester lines
